"time","CA","CB","CP","CI","X_A","Y_P","S_P","purity","production_rate","reactor"
18,0.117491420951832,0.317491420951832,0.792606955898528,0.0899016231496394,0.882508579048168,0.792606955898528,0.898129461648143,0.898129461648143,2.37782086769559,"CSTR"
18.5,0.117431617125988,0.317431617125988,0.792660667476499,0.0899077153975128,0.882568382874012,0.792660667476499,0.898129461648212,0.898129461648212,2.3779820024295,"CSTR"
19,0.117382107674437,0.317382107674438,0.792705133373617,0.0899127589519453,0.882617892325563,0.792705133373617,0.89812946164827,0.89812946164827,2.37811540012085,"CSTR"
19.5,0.117341118962939,0.317341118962939,0.792741946543051,0.0899169344940104,0.882658881037061,0.792741946543051,0.898129461648317,0.898129461648317,2.37822583962915,"CSTR"
20,0.11730718344787,0.31730718344787,0.792772425028965,0.0899203915231651,0.88269281655213,0.792772425028965,0.898129461648356,0.898129461648356,2.37831727508689,"CSTR"
20.5,0.117279086666898,0.317279086666898,0.792797659575762,0.08992325375734,0.882720913333102,0.792797659575762,0.898129461648388,0.898129461648388,2.37839297872728,"CSTR"
21,0.117255823524382,0.317255823524382,0.79281855288945,0.0899256235861683,0.882744176475618,0.79281855288945,0.898129461648415,0.898129461648415,2.37845565866835,"CSTR"
21.5,0.117236562065213,0.317236562065213,0.792835852173424,0.0899275857613637,0.882763437934787,0.792835852173424,0.898129461648437,0.898129461648437,2.37850755652027,"CSTR"
22,0.11722061591188,0.31722061591188,0.792850173883548,0.0899292102045721,0.88277938408812,0.792850173883548,0.898129461648456,0.898129461648456,2.37855052165064,"CSTR"
22.5,0.117207413841265,0.317207413841265,0.792862031052135,0.0899305551065996,0.882792586158735,0.792862031052135,0.898129461648471,0.898129461648471,2.37858609315641,"CSTR"
23,0.11719648159829,0.31719648159829,0.792871849621644,0.0899316687800657,0.88280351840171,0.792871849621644,0.898129461648483,0.898129461648483,2.37861554886493,"CSTR"
23.5,0.117187428904662,0.317187428904663,0.792879980112507,0.0899325909828299,0.882812571095338,0.792879980112507,0.898129461648494,0.898129461648494,2.37863994033752,"CSTR"
24,0.117179932684568,0.317179932684568,0.792886712688633,0.0899333546267988,0.882820067315432,0.792886712688633,0.898129461648502,0.898129461648502,2.3786601380659,"CSTR"
24.5,0.117173725273816,0.317173725273816,0.792892287747116,0.0899339869790676,0.882826274726184,0.792892287747116,0.89812946164851,0.89812946164851,2.37867686324135,"CSTR"
25,0.117168585062559,0.317168585062559,0.79289690432229,0.0899345106151504,0.882831414937441,0.79289690432229,0.898129461648516,0.898129461648516,2.37869071296687,"CSTR"
25.5,0.117164327939819,0.317164327939819,0.792900727769649,0.0899349442905314,0.882835672060181,0.792900727769649,0.89812946164852,0.89812946164852,2.37870218330895,"CSTR"
26,0.117160795722146,0.317160795722146,0.79290390015841,0.0899353041194437,0.882839204277854,0.79290390015841,0.898129461648525,0.898129461648525,2.37871170047523,"CSTR"
26.5,0.117157870343977,0.317157870343977,0.792906527526733,0.0899356021292897,0.882842129656023,0.792906527526733,0.898129461648528,0.898129461648528,2.3787195825802,"CSTR"
27,0.117155449713217,0.317155449713217,0.792908701566537,0.0899358487202459,0.882844550286783,0.792908701566537,0.898129461648531,0.898129461648531,2.37872610469961,"CSTR"
27.5,0.117153446304946,0.317153446304946,0.792910500886531,0.089936052808523,0.882846553695054,0.792910500886531,0.898129461648533,0.898129461648533,2.37873150265959,"CSTR"
28,0.117151788171933,0.317151788171933,0.792911990104643,0.089936221723424,0.882848211828067,0.792911990104643,0.898129461648535,0.898129461648535,2.37873597031393,"CSTR"
28.5,0.117150415810273,0.317150415810273,0.792913222663083,0.0899363615266437,0.882849584189727,0.792913222663083,0.898129461648537,0.898129461648537,2.37873966798925,"CSTR"
29,0.117149279967786,0.317149279967786,0.792914242796685,0.0899364772355281,0.882850720032214,0.792914242796685,0.898129461648538,0.898129461648538,2.37874272839006,"CSTR"
29.5,0.117148339880763,0.317148339880763,0.792915087116538,0.0899365730026983,0.882851660119237,0.792915087116538,0.898129461648539,0.898129461648539,2.37874526134961,"CSTR"
30,0.117147561811357,0.317147561811357,0.792915785923596,0.0899366522650468,0.882852438188643,0.792915785923596,0.89812946164854,0.89812946164854,2.37874735777079,"CSTR"
30.5,0.117146917836526,0.317146917836526,0.792916364296365,0.0899367178671088,0.882853082163474,0.792916364296365,0.898129461648541,0.898129461648541,2.37874909288909,"CSTR"
