"tau","CA","CB","CP","CI","V_axial","X_A","Y_P","S_P","purity","production_rate","reactor"
1.40280561122244,0.485168328110067,0.685168328110067,0.46614989798642,0.0486817739035124,4.20841683366733,0.514831671889933,0.46614989798642,0.90544137537179,0.90544137537179,1.39844969395926,"PFR"
1.46960587842351,0.472565303618885,0.672565303618885,0.477561197837726,0.0498734985433891,4.40881763527054,0.527434696381115,0.477561197837726,0.905441375413815,0.905441375413815,1.43268359351318,"PFR"
1.53640614562458,0.46050970123609,0.66050970123609,0.488476839061341,0.0510134597025684,4.60921843687375,0.53949029876391,0.488476839061341,0.905441375452176,0.905441375452176,1.46543051718402,"PFR"
1.60320641282565,0.448966952240419,0.648966952240419,0.498928121607854,0.0521049261517274,4.80961923847696,0.551033047759581,0.498928121607854,0.905441375487333,0.905441375487333,1.49678436482356,"PFR"
1.67000668002672,0.437905338208031,0.63790533820803,0.508943764650625,0.0531508971413439,5.01002004008016,0.562094661791969,0.508943764650625,0.905441375519669,0.905441375519669,1.52683129395188,"PFR"
1.73680694722779,0.427295703170387,0.627295703170387,0.518550167209962,0.0541541296196514,5.21042084168337,0.572704296829613,0.518550167209962,0.905441375549511,0.905441375549511,1.55565050162989,"PFR"
1.80360721442886,0.417111199963396,0.617111199963396,0.527771637819089,0.0551171622175144,5.41082164328657,0.582888800036603,0.527771637819089,0.905441375577135,0.905441375577135,1.58331491345727,"PFR"
1.87040748162993,0.407327066121514,0.607327066121513,0.536630597438913,0.0560423364395737,5.61122244488978,0.592672933878486,0.536630597438913,0.905441375602779,0.905441375602779,1.60989179231674,"PFR"
1.937207748831,0.397920425378336,0.597920425378336,0.545147759187587,0.0569318154340767,5.81162324649299,0.602079574621664,0.545147759187587,0.905441375626647,0.905441375626647,1.63544327756276,"PFR"
2.00400801603206,0.388870111424042,0.588870111424042,0.553342287917827,0.0577876006581313,6.01202404809619,0.611129888575958,0.553342287917827,0.905441375648918,0.905441375648918,1.66002686375348,"PFR"
2.07080828323313,0.380156511061602,0.580156511061602,0.56123194222976,0.0586115467086388,6.2124248496994,0.619843488938398,0.56123194222976,0.905441375669746,0.905441375669746,1.68369582668928,"PFR"
2.1376085504342,0.37176142431557,0.57176142431557,0.568833201134217,0.0594053745502135,6.41282565130261,0.62823857568443,0.568833201134217,0.905441375689266,0.905441375689266,1.70649960340265,"PFR"
2.20440881763527,0.363667939393581,0.56366793939358,0.576161377267768,0.0601706833386519,6.61322645290581,0.636332060606419,0.576161377267768,0.905441375707597,0.905441375707597,1.7284841318033,"PFR"
2.27120908483634,0.355860320692739,0.555860320692739,0.583230718296367,0.0609089610108935,6.81362725450902,0.644139679307261,0.583230718296367,0.905441375724844,0.905441375724844,1.7496921548891,"PFR"
2.33800935203741,0.348323908290301,0.5483239082903,0.590054497920655,0.0616215937890448,7.01402805611223,0.6516760917097,0.590054497920655,0.9054413757411,0.9054413757411,1.77016349376196,"PFR"
2.40480961923848,0.341045027567793,0.541045027567792,0.596645097706011,0.0623098747261964,7.21442885771543,0.658954972432207,0.596645097706011,0.905441375756447,0.905441375756447,1.78993529311803,"PFR"
2.47160988643955,0.334010907796352,0.534010907796351,0.603014080798766,0.062975011404883,7.41482965931864,0.665989092203648,0.603014080798766,0.90544137577096,0.90544137577096,1.8090422423963,"PFR"
2.53841015364061,0.327209608663476,0.527209608663476,0.609172258451913,0.0636181328846112,7.61523046092184,0.672790391336524,0.609172258451913,0.905441375784704,0.905441375784704,1.82751677535574,"PFR"
2.60521042084168,0.32062995385193,0.52062995385193,0.615129750165522,0.0642402959825476,7.81563126252505,0.67937004614807,0.615129750165522,0.905441375797738,0.905441375797738,1.84538925049657,"PFR"
2.67201068804275,0.314261470893529,0.514261470893528,0.620896038145609,0.0648424909608619,8.01603206412826,0.685738529106471,0.620896038145609,0.905441375810115,0.905441375810115,1.86268811443683,"PFR"
2.73881095524382,0.308094336616932,0.508094336616932,0.626480016697959,0.0654256466851081,8.21643286573146,0.691905663383068,0.626480016697959,0.905441375821884,0.905441375821884,1.87944005009388,"PFR"
2.80561122244489,0.302119327591727,0.502119327591727,0.631890037098109,0.0659906353101644,8.41683366733467,0.697880672408273,0.631890037098109,0.905441375833088,0.905441375833088,1.89567011129433,"PFR"
2.87241148964596,0.296327775042946,0.496327775042946,0.6371339484136,0.0665382765434534,8.61723446893788,0.703672224957054,0.6371339484136,0.905441375843766,0.905441375843766,1.9114018452408,"PFR"
2.93921175684703,0.29071152377252,0.49071152377252,0.642219134698206,0.0670693415292739,8.81763527054108,0.70928847622748,0.642219134698206,0.905441375853955,0.905441375853955,1.92665740409462,"PFR"
3.0060120240481,0.285262894678247,0.485262894678247,0.647152548928798,0.0675845563929551,9.01803607214429,0.714737105321753,0.647152548928798,0.905441375863686,0.905441375863686,1.94145764678639,"PFR"
3.07281229124917,0.279974650508011,0.479974650508011,0.651940744012898,0.0680846054790902,9.2184368737475,0.720025349491989,0.651940744012898,0.905441375872991,0.905441375872991,1.9558222320387,"PFR"
3.13961255845023,0.274839964528067,0.474839964528067,0.656589901157712,0.068570134314221,9.4188376753507,0.725160035471933,0.656589901157712,0.905441375881895,0.905441375881895,1.96976970347313,"PFR"
3.2064128256513,0.269852391820139,0.469852391820139,0.661105855858917,0.0690417523209442,9.61923847695391,0.730147608179861,0.661105855858917,0.905441375890424,0.905441375890424,1.98331756757675,"PFR"
3.27321309285237,0.265005842953563,0.465005842953563,0.665494121739,0.0695000353074373,9.81963927855712,0.734994157046437,0.665494121739,0.905441375898601,0.905441375898601,1.996482365217,"PFR"
3.34001336005344,0.260294559806314,0.460294559806314,0.669759912439897,0.0699455277537895,10.0200400801603,0.739705440193686,0.669759912439897,0.905441375906447,0.905441375906447,2.00927973731969,"PFR"
