"tau","CA","CB","CP","CI","V_reactor","X_A","Y_P","S_P","purity","production_rate"
33.1,0.00363846967765839,0.203638469677659,0.902146956134917,0.0942145741874246,99.3,0.996361530322342,0.902146956134917,0.905441376221756,0.905441376221756,2.70644086840475
33.6,0.0034297743136752,0.203429774313676,0.902335917552682,0.094234308133642,100.8,0.996570225686325,0.902335917552682,0.905441376221946,0.905441376221946,2.70700775265805
34.1,0.00323323935675408,0.203233239356754,0.902513868434731,0.0942528922085142,102.3,0.996766760643246,0.902513868434731,0.905441376222125,0.905441376222125,2.70754160530419
34.6,0.00304813510812597,0.203048135108126,0.902681469480522,0.0942703954113518,103.8,0.996951864891874,0.902681469480522,0.905441376222294,0.905441376222294,2.70804440844157
35.1,0.00287377800056869,0.202873778000569,0.902839339620101,0.0942868823793299,105.3,0.997126221999431,0.902839339620101,0.905441376222453,0.905441376222453,2.7085180188603
35.6,0.00270952742382717,0.202709527423828,0.9029880588885,0.0943024136876721,106.8,0.997290472576173,0.9029880588885,0.905441376222602,0.905441376222602,2.7089641766655
36.1,0.00255478279633254,0.202554782796333,0.903128171077123,0.0943170461265445,108.3,0.997445217203667,0.903128171077123,0.905441376222743,0.905441376222743,2.70938451323137
36.6,0.002408980861214,0.202408980861214,0.903260186182045,0.094330832956741,109.8,0.997591019138786,0.903260186182045,0.905441376222876,0.905441376222876,2.70978055854613
37.1,0.00227159318685293,0.202271593186853,0.903384582667119,0.0943438241460278,111.3,0.997728406813147,0.903384582667119,0.905441376223001,0.905441376223001,2.71015374800136
37.6,0.00214212385422496,0.202142123854225,0.90350180955795,0.094356066587825,112.8,0.997857876145775,0.90350180955795,0.905441376223119,0.905441376223119,2.71050542867385
38.1,0.00202010731504463,0.202020107315045,0.903612288381218,0.0943676043037372,114.3,0.997979892684955,0.903612288381218,0.90544137622323,0.90544137622323,2.71083686514365
38.6,0.00190510640629766,0.201905106406298,0.903716414962405,0.094378478631297,115.8,0.998094893593702,0.903716414962405,0.905441376223334,0.905441376223334,2.71114924488721
39.1,0.00179671050814267,0.201796710508143,0.903814561093706,0.0943887283981513,117.3,0.998203289491857,0.903814561093706,0.905441376223432,0.905441376223432,2.71144368328112
39.6,0.00169453383340774,0.201694533833408,0.903907076082788,0.0943983900838036,118.8,0.998305466166592,0.903907076082788,0.905441376223525,0.905441376223525,2.71172122824836
